basin,NSE,KGE,RMSE,Pearson-r,FHV,FLV
camelsbr_44500000,0.9792273682747225,0.967693437078225,0.08178691009952693,0.9898442625999451,-1.0414338,-6.0010056
camelsbr_45298000,0.9730270566221408,0.9720910453341383,0.07516719862284663,0.9864917993545532,-0.98749286,-51.410145
camelsbr_45590000,0.850813714474314,0.8784269593053754,0.042891115257886844,0.9225500226020813,-11.445212,-27.863386
camelsbr_46455000,0.9933278640618511,0.9848687384605891,0.07296993837164883,0.9967260360717773,-1.0154073,97.64562
camelsbr_46570000,0.8203532821922901,0.8315442665892616,0.0922537402009259,0.907697856426239,-14.265593,-56.032257
camelsbr_54300000,0.8803584015119192,0.8944672608072568,0.26650394147549095,0.9386113882064819,-7.604023,18.532436
camelsbr_56085000,0.9389567842010665,0.944593007532228,0.30153387210530946,0.9691168665885925,-4.5594773,15.734146
camelsbr_56415000,0.9473399318975939,0.9565934339711445,0.29490787902362703,0.973344624042511,-3.0916312,36.399895
camelsbr_56484998,0.9547229585683217,0.9574484156236575,0.2738389882369453,0.977188229560852,-2.4921634,59.498905
camelsbr_56510000,0.9568848855964169,0.9631829186511067,0.2563631180232899,0.9782370328903198,-2.9701173,60.068142
camelsbr_56570000,0.938870038682729,0.9492812149194086,0.28700974740528945,0.968999981880188,-3.0434222,-0.0614824
camelsbr_56800000,0.9295107466896357,0.9375375261694389,0.2559224116590325,0.9642353653907776,-4.2560816,-4.5517063
camelsbr_56845000,0.9628791385250184,0.9651067670639708,0.16243768675603695,0.9813258647918701,-1.4920167,-16.688911
camelsbr_56870000,0.9204340396467239,0.9327111456236291,0.23863517553995642,0.9594963788986206,-3.1767805,46.28027
camelsbr_56940002,0.9482700879669994,0.9501624488650366,0.2615070910540856,0.9739349484443665,-3.4687307,7.8014083
camelsbr_56990000,0.9703465031298117,0.9674961098061629,0.16581629960559197,0.9851621985435486,-1.2495524,11.417758
camelsbr_56991500,0.9517133739354091,0.9452496064352964,0.2749785593734553,0.9758794903755188,-2.935474,-1435.9426
camelsbr_56994500,0.9570643327932075,0.8532709564630165,0.18614521925927563,0.9874999523162842,-9.465004,52.92192
camelsbr_56994510,0.947007048581437,0.8558905806945263,0.15536762475841137,0.986298680305481,8.390912,-62.100647
camelsbr_60010000,0.9809707565393937,0.9793584050938562,0.19493681061119197,0.9904876351356506,-0.6773091,37.90905
camelsbr_60011000,0.984620636811199,0.9792467127726097,0.17412698428747925,0.9923489689826965,-1.127349,-10.388652
camelsbr_60381000,0.9157261218202318,0.9300604933344583,0.28513504628816444,0.9570215344429016,-4.4289513,39.222496
camelsbr_60471200,0.8154015981794593,0.8544961843253738,0.37153561035210636,0.9030768275260925,-11.14314,28.8326
camelsbr_60478600,0.8801416131454904,0.8912943414765859,0.36925708608859537,0.938585638999939,-7.1025743,68.308014
camelsbr_60500000,0.9517497450043523,0.9586676023577899,0.1952020523590221,0.9756253957748413,-2.269678,-2.4141555
camelsbr_60855000,0.9241823974202295,0.9365968572330383,0.3110177530782682,0.9614201188087463,-5.8141937,26.85167
