basin,NSE,KGE,RMSE,Pearson-r,FHV,FLV
camelsbr_54150000,0.6186853277521026,0.7000192394551572,0.4815830552097637,0.7866083383560181,-21.188635,53.29386
camelsbr_54195000,0.6620585527869288,0.7369601713552628,0.3214222710139547,0.8136834502220154,-21.463337,42.8783
camelsbr_54300000,0.565259038818132,0.6338180393429378,0.5080166626378961,0.7521505355834961,-29.59065,28.67271
camelsbr_54390000,0.6935715549965957,0.7496957542643363,0.3711492998809049,0.8333641886711121,-23.815186,-1501.2195
camelsbr_55520001,0.6814537405224581,0.7269396547004056,0.24054600112424268,0.8263728022575378,-27.087725,-701.76935
camelsbr_55900000,0.6417896020205134,0.7017665187576176,0.5774796208588212,0.801478385925293,-27.29868,66.725784
camelsbr_55920000,0.8149970710739165,0.8545000868318084,0.40856457637115107,0.9028446078300476,-13.725206,-505.2527
camelsbr_56085000,0.6599938312133217,0.7027767422932176,0.7116409426722047,0.8136892318725586,-26.199759,13.547325
camelsbr_56415000,0.7904346123329172,0.8179107774998415,0.5883084203517245,0.8897915482521057,-12.491243,32.191856
camelsbr_56484998,0.8576044774116994,0.8632183699749246,0.48562830628063686,0.9274612069129944,-8.77186,46.926025
camelsbr_56510000,0.8530196619186416,0.878393593897212,0.47333740775219535,0.9237775802612305,-8.456936,53.425438
camelsbr_56570000,0.7123482376984664,0.7815712638100569,0.6225922938182735,0.8445638418197632,-18.35468,42.18488
camelsbr_56800000,0.7690495939231756,0.8125928805163964,0.4632394498394683,0.8773660063743591,-13.846233,-138.14885
camelsbr_56845000,0.8057911307250204,0.8341887826937179,0.3715455767962062,0.8981253504753113,-13.397725,-89.45156
camelsbr_56870000,0.7134287332509457,0.7729742912623023,0.45288362322269843,0.844734787940979,-16.427767,-1132.7479
camelsbr_56891900,0.8137044576631852,0.8298838344377147,0.2443102209400121,0.9034647941589355,-15.694408,-76.58693
camelsbr_56915500,0.6263410642597407,0.647465213353241,0.34740195457216655,0.7963003516197205,-33.604313,
camelsbr_56940002,0.7967272287874039,0.8178247058211958,0.518385031438185,0.8938844799995422,-19.952875,45.460697
camelsbr_56989001,0.8616598717917865,0.89166305179123,0.4929966557458958,0.9285030961036682,-8.63388,5.736919
camelsbr_56990000,0.8825194078977803,0.904801150719646,0.33004431015251157,0.9396812915802002,-5.336204,33.965767
camelsbr_56991500,0.7942620818196203,0.8240099951783337,0.5676005170675292,0.891778290271759,-16.086098,2.2581258
camelsbr_56992000,0.8075904457056393,0.8347313970613195,0.47853882402509357,0.8991686701774597,-17.256474,18.346336
camelsbr_56993551,0.7837599141772926,0.8104369043157278,0.5738727798900897,0.8861259818077087,-17.424398,36.89656
camelsbr_56994500,0.8957535032402096,0.8257288663445584,0.29005031371209,0.9544159173965454,-13.174431,58.83397
camelsbr_56994510,0.8728611185961115,0.8736317360275685,0.24065245713218536,0.9497431516647339,3.9495916,-41.78375
camelsbr_56995500,0.857984742996622,0.8873232624697088,0.5753826619909596,0.9263477921485901,-11.183705,-357.83066
camelsbr_58870000,0.7624441307406216,0.8040203379970748,0.42450719479505855,0.8734892010688782,-13.297206,14.132282
camelsbr_60010000,0.918523347722357,0.9252923787107015,0.4033664741608071,0.958643913269043,-3.7479613,-127.85306
camelsbr_60011000,0.9298289315750444,0.9442544224163982,0.37194265343248556,0.9643197655677795,-2.3966622,-1724.0359
camelsbr_60381000,0.706511545084453,0.7609250227704953,0.5321076146467587,0.8410739302635193,-21.246199,37.869686
camelsbr_60471200,0.48339434189764563,0.5722470498849512,0.6215355938917827,0.695284903049469,-32.327457,31.950436
camelsbr_60478600,0.40522240358119876,0.4681753665559889,0.8225677732471518,0.6370971202850342,-31.841255,73.74245
camelsbr_60490000,0.691041197539501,0.7769132576624197,0.44522172437648794,0.8342078924179077,-14.10239,76.22831
camelsbr_60500000,0.8025533702686981,0.8146116729585097,0.3948752159680787,0.8973467350006104,-19.330826,45.008984
camelsbr_60715000,0.7806153863921218,0.8185396887702376,0.41803707027896286,0.8839618563652039,-20.03253,55.9943
camelsbr_60855000,0.7647265338382703,0.8120954119332977,0.5478815080750948,0.874657928943634,-18.091282,-9.565101
camelsbr_63350100,0.6175862236303897,0.7298530461334238,0.20140930164591098,0.7888616919517517,-9.925006,6.249122
camelsbr_67100000,0.49458631282475796,0.5578433539038976,0.0790698729722315,0.7049472332000732,-19.9313,-149.60466
