basin,NSE,KGE,RMSE,Pearson-r,FHV,FLV
camelsbr_42210000,0.891346537026772,0.905585671283398,0.19218685607492145,0.9443995356559753,-4.0840154,73.74097
camelsbr_42490000,0.597211652397415,0.66491657043389,0.591764090356974,0.7730612754821777,-20.58966,68.01445
camelsbr_42546000,0.513765713709167,0.5886527095197036,1.398094902481992,0.7171068787574768,-28.647154,18.518314
camelsbr_43200000,0.9206497852623204,0.9057627349444239,0.17219793802113956,0.960720419883728,-4.8794813,65.76061
camelsbr_43670000,0.8612231524247047,0.881015902909287,0.3199590733552656,0.9283155202865601,-7.4384384,12.762003
camelsbr_43880000,0.8666241414603626,0.879917453822767,0.2788702901530551,0.932214081287384,-3.0296435,18.38149
camelsbr_44200000,0.9245626687492214,0.8985228387849514,0.1724576556626838,0.9634243845939636,-8.772272,49.448246
camelsbr_44250000,0.6629403412734846,0.7056782029174269,0.1502564872402008,0.8234373927116394,-33.50292,-4282.0273
camelsbr_44290002,0.9286874597826688,0.9409971970793632,0.1579881903461483,0.9639143347740173,-1.1431966,32.780922
camelsbr_44500000,0.928074320112495,0.928721019710902,0.15218777496931862,0.9636991620063782,-1.1578707,39.31929
camelsbr_45131000,0.7584322082637877,0.8282847962023715,0.1399036556205289,0.87212735414505,-13.120726,-77.50446
camelsbr_45170001,0.5906149568604118,0.8157360086105276,0.11227140762817293,0.8475518822669983,-5.499931,-299.53287
camelsbr_45210000,0.7539917882282805,0.7749041630459568,0.10836453380144777,0.8700341582298279,-16.420708,-111.02034
camelsbr_45260000,0.7440550831521603,0.7365805574543999,0.10334271709057449,0.8716278076171875,-17.665775,-78.82944
camelsbr_45298000,0.9161111303760867,0.9230224983054178,0.13256122155407113,0.9573814868927002,-4.403735,-25.722307
camelsbr_45480000,0.9089541826633113,0.9164380934547193,0.12624462941285203,0.9537370204925537,-5.6926556,51.605137
camelsbr_45590000,0.754760995286592,0.8912975957735395,0.05499178878289002,0.8996198177337646,-11.509593,-49.82682
